date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/06/13,680,268.74,3.483,1.43E+03,56.2,-58.3,0.6,74.34
  2023/06/13,734,267.9,3.506,1.43E+03,54,-56.8,1.5,75.744
  2023/06/13,781,267.46,3.57,1.45E+03,54.9,-53.5,3.8,74.628
  2023/06/13,832,267.3,3.52,1.43E+03,52,-55.1,4.4,75.024
  2023/06/13,880,267.85,3.536,1.44E+03,49.8,-53.3,6,75.168
  2023/06/13,933,267.77,3.533,1.44E+03,51.4,-51.7,6.5,76.176
  2023/06/13,981,267.5,3.586,1.46E+03,53.2,-53.5,6.4,74.88
  2023/06/13,30,267.61,3.527,1.44E+03,53.5,-55.1,7.9,75.492
  2023/06/13,79,267.96,3.546,1.44E+03,55.8,-55.3,5.4,76.392
  2023/06/13,130,267.73,3.601,1.46E+03,52.8,-54.9,7.2,75.96
  2023/06/13,180,267.77,3.57,1.46E+03,50.8,-54.5,10.4,75.852
  2023/06/13,231,267.17,3.562,1.44E+03,53,-54.2,9.6,75.096
  2023/06/13,282,269.04,3.542,1.46E+03,54.9,-54.8,7.4,76.86
  2023/06/13,330,267.28,3.614,1.47E+03,52.5,-53.2,9.8,77.256
  2023/06/13,385,268.79,3.645,1.49E+03,51.8,-53.2,8.7,74.808
  2023/06/13,434,269.43,3.534,1.46E+03,52.5,-52.4,9.4,75.024
  2023/06/13,484,270.65,3.538,1.47E+03,52.7,-52.7,9.6,74.916
  2023/06/13,536,267.58,3.535,1.44E+03,49.7,-51.3,11.1,75.852
  2023/06/13,585,269.34,3.573,1.48E+03,52,-52.4,11.6,75.312
  2023/06/13,633,267.71,3.542,1.44E+03,54.3,-53.7,11.8,74.556
  2023/06/13,681,268.94,3.512,1.44E+03,54,-52.2,10.8,76.212
  2023/06/13,729,267.86,3.592,1.46E+03,52.5,-51.8,11.5,74.916
  2023/06/13,779,267.96,3.515,1.44E+03,54.2,-52.8,11.1,74.88
  2023/06/13,830,267.75,3.536,1.44E+03,52.6,-54.7,10.8,74.52
  2023/06/13,883,267.6,3.497,1.43E+03,54.2,-53,10.7,74.808
  2023/06/13,931,267.49,3.536,1.44E+03,53.2,-53.8,11.4,77.148
  2023/06/13,981,267.58,3.636,1.48E+03,51.8,-51.9,11.5,74.7
  2023/06/13,31,267.51,3.52,1.43E+03,52.8,-50.9,11.7,75.024
  2023/06/13,80,268.09,3.527,1.44E+03,53.7,-50.3,12.4,75.672
  2023/06/13,129,267.71,3.561,1.45E+03,54.1,-51.1,12.4,76.788
