date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,288,407.58,0.6644,3.57E+02,0,0,0,16.12536001
  2023/04/06,338,407.61,0.6642,3.57E+02,0,0,0,16.22419765
  2023/04/06,388,407.58,0.6657,3.57E+02,0,0,0,16.32655092
  2023/04/06,438,407.56,0.666,3.57E+02,0,0,0,16.4324467
  2023/04/06,488,407.55,0.6653,3.57E+02,0,0,0,16.54191061
  2023/04/06,538,407.56,0.667,3.57E+02,0,0,0,16.65496693
  2023/04/06,588,407.57,0.6706,3.59E+02,0,0,0,16.77163864
  2023/04/06,638,407.59,0.6678,3.58E+02,0,0,0,16.8919473
  2023/04/06,688,407.6,0.6652,3.57E+02,0,0,0,17.01591308
  2023/04/06,738,407.57,0.6629,3.56E+02,0,0,0,17.14355473
  2023/04/06,788,407.62,0.6686,3.59E+02,0,0,0,17.2748895
  2023/04/06,838,407.62,0.6659,3.59E+02,0,0,0,17.40993318
  2023/04/06,888,407.6,0.6625,3.58E+02,0,0,0,17.5487
  2023/04/06,938,407.63,0.6644,3.60E+02,0,0,0,17.69120265
  2023/04/06,988,407.64,0.6652,3.59E+02,0,0,0,17.83745224
  2023/04/06,38,407.64,0.6599,3.58E+02,0,0,0,17.98745827
  2023/04/06,88,407.62,0.6623,3.59E+02,0,0,0,18.1412286
  2023/04/06,138,407.66,0.6626,3.59E+02,0,0,0,18.29876942
  2023/04/06,188,407.64,0.6576,3.58E+02,0,0,0,18.46008524
  2023/04/06,238,407.67,0.6614,3.59E+02,0,0,0,18.62517886
  2023/04/06,288,407.66,0.6623,3.59E+02,0,0,0,18.79405134
  2023/04/06,338,407.65,0.6622,3.59E+02,0,0,0,18.96670198
  2023/04/06,388,407.65,0.6649,3.59E+02,0,0,0,19.14312829
  2023/04/06,438,407.67,0.6437,3.53E+02,0,0,0,19.323326
  2023/04/06,488,407.67,0.6467,3.53E+02,0,0,0,19.50728899
  2023/04/06,538,407.65,0.6583,3.58E+02,0,0,0,19.69500933
  2023/04/06,588,407.68,0.6593,3.58E+02,0,0,0,19.88647719
  2023/04/06,638,407.7,0.6555,3.57E+02,0,0,0,20.08168089
  2023/04/06,688,407.7,0.6536,3.56E+02,0,0,0,20.28060684
  2023/04/06,738,407.71,0.6597,3.58E+02,0,0,0,20.48323956
  2023/04/06,788,407.76,0.6626,3.59E+02,0,0,0,20.68956163
  2023/04/06,838,407.8,0.6611,3.59E+02,0,0,0,20.89955369
  2023/04/06,888,407.8,0.6641,3.60E+02,0,0,0,21.11319445
  2023/04/06,938,407.79,0.6576,3.57E+02,0,0,0,21.33046062
  2023/04/06,988,407.78,0.6613,3.58E+02,0,0,0,21.55132699
  2023/04/06,38,407.74,0.661,3.57E+02,0,0,0,21.77576634
  2023/04/06,88,407.7,0.6603,3.56E+02,0,0,0,22.00374947
  2023/04/06,137,407.71,0.6611,3.57E+02,0,0,0,22.23524519
  2023/04/06,187,407.76,0.6648,3.58E+02,0,0,0,22.47022032
  2023/04/06,237,407.77,0.6657,3.59E+02,0,0,0,22.70863965
  2023/04/06,287,407.74,0.6647,3.58E+02,0,0,0,22.95046602
  2023/04/06,337,407.72,0.6649,3.58E+02,0,0,0,23.19566022
  2023/04/06,387,407.68,0.6633,3.58E+02,0,0,0,23.44418106
  2023/04/06,437,407.64,0.6636,3.58E+02,0,0,0,23.69598534
  2023/04/06,487,407.64,0.6662,3.59E+02,0,0,0,23.95102788
  2023/04/06,537,407.63,0.6597,3.57E+02,0,0,0,24.20926149
  2023/04/06,587,407.62,0.6619,3.58E+02,0,0,0,24.470637
  2023/04/06,637,407.65,0.6635,3.59E+02,0,0,0,24.73510327
  2023/04/06,687,407.65,0.663,3.59E+02,0,0,0,25.00260718
  2023/04/06,737,407.7,0.6636,3.61E+02,0,0,0,25.27309365
  2023/04/06,787,407.67,0.6608,3.58E+02,0,0,0,25.54650567
  2023/04/06,837,407.69,0.6626,3.59E+02,0,0,1,25.8227843
  2023/04/06,887,407.7,0.6599,3.59E+02,0,0,0,26.10186866
  2023/04/06,937,407.71,0.6591,3.58E+02,0,0,0,26.38369598
  2023/04/06,987,407.66,0.6549,3.56E+02,0,0,0,26.66820163
  2023/04/06,37,407.55,0.651,3.55E+02,0,0,0,26.9553191
  2023/04/06,87,407.55,0.6553,3.57E+02,0,0,0,27.24498004
  2023/04/06,137,407.52,0.655,3.57E+02,0,0,0,27.53711428
  2023/04/06,187,407.31,0.645,3.52E+02,0,0,0,27.83164988
  2023/04/06,237,407.35,0.6588,3.58E+02,0,0,0,28.12851312
  2023/04/06,287,407.49,0.6682,3.62E+02,0,0,0,28.42762855
  2023/04/06,337,407.58,0.665,3.61E+02,0,0,0,28.728919
  2023/04/06,387,407.6,0.6627,3.60E+02,0,0,0,29.03230564
  2023/04/06,437,407.59,0.6574,3.57E+02,0,0,0,29.33770799
  2023/04/06,487,407.58,0.6591,3.57E+02,0,0,0,29.64504395
