date,Irms-SigmaA-Total,P-SigmaA-Total,ch1,OT
  2023/04/06,2.7803,1.04E+03,0,53.064
  2023/04/06,2.855,1.07E+03,0,53.568
  2023/04/06,2.9157,1.08E+03,0,53.136
  2023/04/06,2.8908,1.08E+03,0,54.936
  2023/04/06,2.9617,1.11E+03,0,54.972
  2023/04/06,2.9398,1.10E+03,0,55.512
  2023/04/06,3.0046,1.12E+03,0,56.88
  2023/04/06,3.0967,1.15E+03,0,58.032
  2023/04/06,3.2223,1.19E+03,0,57.852
  2023/04/06,3.1789,1.17E+03,0,58.284
  2023/04/06,3.1936,1.18E+03,0,58.86
  2023/04/06,3.226,1.19E+03,0,59.328
  2023/04/06,3.2374,1.20E+03,0,61.344
  2023/04/06,3.3701,1.24E+03,0,61.632
  2023/04/06,3.4526,1.27E+03,0,61.776
  2023/04/06,3.4692,1.27E+03,0,63.072
  2023/04/06,3.5596,1.31E+03,0,63.36
  2023/04/06,3.5586,1.30E+03,0,64.728
  2023/04/06,3.6278,1.33E+03,0,64.98
  2023/04/06,3.6457,1.33E+03,0,64.764
  2023/04/06,3.6283,1.33E+03,0,67.32
  2023/04/06,3.7611,1.38E+03,0,66.492
  2023/04/06,3.6886,1.36E+03,0,67.32
  2023/04/06,3.7365,1.37E+03,0,70.128
  2023/04/06,3.8874,1.42E+03,0,69.876
  2023/04/06,3.872,1.42E+03,0,69.012
  2023/04/06,3.839,1.41E+03,0,69.084
  2023/04/06,3.8026,1.40E+03,0,68.58
  2023/04/06,3.8136,1.40E+03,0,66.96
  2023/04/06,3.6694,1.34E+03,0,64.404
  2023/04/06,3.5728,1.31E+03,0,64.836
  2023/04/06,3.5698,1.31E+03,0,65.88
  2023/04/06,3.5669,1.31E+03,0,64.98
  2023/04/06,3.6684,1.35E+03,0,65.772
  2023/04/06,3.6719,1.35E+03,0,63.036
  2023/04/06,3.4924,1.28E+03,0,64.296
  2023/04/06,3.5464,1.30E+03,0,63.9
  2023/04/06,3.4549,1.27E+03,0,64.836
  2023/04/06,3.5861,1.31E+03,0,64.656
  2023/04/06,3.5564,1.31E+03,0,65.376
  2023/04/06,3.6585,1.34E+03,0,65.124
  2023/04/06,3.6084,1.32E+03,0,66.06
  2023/04/06,3.6538,1.34E+03,0,65.412
  2023/04/06,3.6709,1.35E+03,0,65.916
  2023/04/06,3.6562,1.34E+03,0,66.204
  2023/04/06,3.6852,1.35E+03,0,66.348
  2023/04/06,3.6868,1.35E+03,0,66.924
  2023/04/06,3.6977,1.36E+03,0,67.032
  2023/04/06,3.7249,1.37E+03,0,67.68
  2023/04/06,3.7386,1.37E+03,0,67.788
  2023/04/06,3.7763,1.39E+03,0,68.796
  2023/04/06,3.7959,1.39E+03,0,68.976
  2023/04/06,3.8111,1.40E+03,0,69.012
  2023/04/06,3.8008,1.39E+03,0,69.444
  2023/04/06,3.8361,1.40E+03,0,69.336
  2023/04/06,3.8551,1.41E+03,0,69.984
  2023/04/06,3.895,1.43E+03,0,70.236
  2023/04/06,3.8965,1.43E+03,0,71.424
  2023/04/06,3.9159,1.44E+03,0,71.244
  2023/04/06,3.8996,1.43E+03,0,72
  2023/04/06,3.9749,1.46E+03,0,71.784
  2023/04/06,3.9648,1.46E+03,0,59.616
  2023/04/06,3.1856,1.15E+03,0,40.356
  2023/04/06,2.0034,7.74E+02,0,40.788
  2023/04/06,2.1437,8.26E+02,0,47.052
  2023/04/06,2.5909,9.57E+02,0,42.912
  2023/04/06,2.3152,8.81E+02,0,45.792
  2023/04/06,2.4301,9.21E+02,0,41.076
  2023/04/06,2.1448,8.25E+02,0,44.244
  2023/04/06,2.3414,8.89E+02,0,42.912
  2023/04/06,2.2645,8.61E+02,0,45.54
  2023/04/06,2.4289,9.16E+02,0,42.588
  2023/04/06,2.2426,8.57E+02,0,43.092
  2023/04/06,2.2561,8.57E+02,0,45.216
  2023/04/06,2.366,8.91E+02,0,42.156
  2023/04/06,2.2081,8.44E+02,0,43.38
  2023/04/06,2.2929,8.72E+02,0,42.3
  2023/04/06,2.2144,8.51E+02,0,43.992
  2023/04/06,2.3188,8.85E+02,0,43.884
  2023/04/06,2.3092,8.74E+02,0,41.364
  2023/04/06,2.1379,8.19E+02,0,44.892
  2023/04/06,2.357,8.86E+02,0,39.636
  2023/04/06,2.0339,7.82E+02,0,44.208
  2023/04/06,2.3266,8.77E+02,0,42.3
  2023/04/06,2.2304,8.41E+02,0,44.1
  2023/04/06,2.3221,8.75E+02,0,43.56
  2023/04/06,2.2824,8.61E+02,0,41.688
  2023/04/06,2.1601,8.25E+02,0,43.2
  2023/04/06,2.2549,8.55E+02,0,42.732
  2023/04/06,2.227,8.44E+02,0,44.532
  2023/04/06,2.3468,8.93E+02,0,42.552
  2023/04/06,2.2357,8.54E+02,0,42.948
  2023/04/06,2.2569,8.60E+02,0,44.892
  2023/04/06,2.373,9.00E+02,0,42.948
  2023/04/06,2.273,8.67E+02,0,42.408
  2023/04/06,2.2274,8.49E+02,0,43.272
  2023/04/06,2.2806,8.68E+02,0,42.588
  2023/04/06,2.2235,8.53E+02,0,43.74
  2023/04/06,2.3034,8.76E+02,0,43.164
  2023/04/06,2.2715,8.67E+02,0,45
  2023/04/06,2.3366,8.94E+02,0,40.536
  2023/04/06,2.0683,7.99E+02,0,43.704
  2023/04/06,2.3352,8.86E+02,0,42.3
  2023/04/06,2.2699,8.58E+02,0,45.504
  2023/04/06,2.4209,9.19E+02,0,42.84
  2023/04/06,2.2955,8.76E+02,0,42.768
  2023/04/06,2.1802,8.36E+02,0,42.984
  2023/04/06,2.1955,8.45E+02,0,42.408
  2023/04/06,2.1873,8.41E+02,0,43.164
  2023/04/06,2.3075,8.79E+02,0,42.948
  2023/04/06,2.1968,8.52E+02,0,42.588
  2023/04/06,2.1745,8.43E+02,0,44.352
  2023/04/06,2.375,9.10E+02,0,42.084
  2023/04/06,2.1813,8.47E+02,0,44.46
  2023/04/06,2.2919,8.82E+02,0,42.588
  2023/04/06,2.1449,8.40E+02,0,43.344
  2023/04/06,2.2475,8.72E+02,0,42.552
  2023/04/06,2.256,8.68E+02,0,44.748
  2023/04/06,2.3029,8.91E+02,0,44.424
  2023/04/06,2.3393,8.99E+02,0,41.724
  2023/04/06,2.113,8.25E+02,1,44.748
  2023/04/06,2.2664,8.80E+02,1,42.084
  2023/04/06,2.1103,8.28E+02,2,44.46
  2023/04/06,2.3314,9.02E+02,2,42.516
  2023/04/06,2.2397,8.69E+02,2,44.928
  2023/04/06,2.2798,8.85E+02,2,43.848
  2023/04/06,2.2598,8.78E+02,2,42.444
  2023/04/06,2.1652,8.50E+02,2,43.452
  2023/04/06,2.2472,8.76E+02,2,45.072
  2023/04/06,2.285,8.91E+02,2,42.156
  2023/04/06,2.1001,8.29E+02,3,43.596
  2023/04/06,2.2993,8.90E+02,2,43.128
  2023/04/06,2.2027,8.62E+02,2,45.576
  2023/04/06,2.3622,9.17E+02,2,43.308
  2023/04/06,2.268,8.78E+02,2,43.272
  2023/04/06,2.1568,8.47E+02,2,42.372
  2023/04/06,2.1384,8.37E+02,2,44.424
  2023/04/06,2.3053,8.93E+02,2,43.416
  2023/04/06,2.3359,8.99E+02,2,43.956
  2023/04/06,2.2088,8.62E+02,1,43.92
  2023/04/06,2.2476,8.72E+02,2,42.408
  2023/04/06,2.162,8.39E+02,2,42.516
  2023/04/06,2.2106,8.58E+02,2,42.264
  2023/04/06,2.1919,8.48E+02,1,44.748
  2023/04/06,2.3602,9.04E+02,2,42.444
  2023/04/06,2.2092,8.55E+02,2,42.552
  2023/04/06,2.1535,8.40E+02,2,43.992
  2023/04/06,2.2553,8.73E+02,1,42.516
  2023/04/06,2.1844,8.49E+02,2,42.876
  2023/04/06,2.2065,8.56E+02,2,42.804
  2023/04/06,2.1917,8.51E+02,2,43.74
  2023/04/06,2.2154,8.65E+02,1,43.128
  2023/04/06,2.2756,8.80E+02,2,41.976
  2023/04/06,2.1529,8.38E+02,2,44.82
  2023/04/06,2.2714,8.80E+02,2,41.004
  2023/04/06,2.0384,8.04E+02,1,43.416
  2023/04/06,2.273,8.80E+02,2,41.616
  2023/04/06,2.2208,8.48E+02,2,45.108
  2023/04/06,2.352,9.04E+02,1,42.804
  2023/04/06,2.2537,8.68E+02,1,41.364
  2023/04/06,2.0742,8.08E+02,1,42.876
  2023/04/06,2.1819,8.46E+02,2,42.552
  2023/04/06,2.1409,8.35E+02,1,42.84
  2023/04/06,2.2531,8.70E+02,1,42.156
  2023/04/06,2.2212,8.58E+02,2,43.848
  2023/04/06,2.2324,8.66E+02,2,42.3
  2023/04/06,2.1639,8.45E+02,1,42.12
  2023/04/06,2.193,8.52E+02,1,43.128
  2023/04/06,2.1667,8.48E+02,2,41.976
  2023/04/06,2.0424,8.12E+02,1,42.588
  2023/04/06,2.1582,8.49E+02,1,41.796
  2023/04/06,2.1995,8.57E+02,1,43.56
  2023/04/06,2.2192,8.65E+02,2,44.208
  2023/04/06,2.3024,8.93E+02,1,38.916
